epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,2551.31,0.53805,0.38607,0.00775,0.8667,0.86044,0.90151,0.74865,0.63855,0.6395,0.01125,0.000234068,0.000234068,0.000234068
77,2584.71,0.53632,0.36951,0.00798,0.82172,0.84071,0.87246,0.72058,0.64427,0.67933,0.01131,0.000225068,0.000225068,0.000225068
78,2618.1,0.54531,0.40493,0.0078,0.88558,0.84708,0.89386,0.73281,0.63084,0.64783,0.01115,0.000216069,0.000216069,0.000216069
79,2651.44,0.52477,0.36312,0.00774,0.88142,0.83709,0.88615,0.73162,0.64299,0.65224,0.01134,0.00020707,0.00020707,0.00020707
80,2684.81,0.52759,0.37862,0.00777,0.87628,0.85262,0.90027,0.73827,0.63654,0.63363,0.01121,0.000198071,0.000198071,0.000198071
81,2718.06,0.51854,0.37625,0.0075,0.87508,0.874,0.90934,0.74275,0.63411,0.63158,0.01135,0.000189072,0.000189072,0.000189072
82,2751.42,0.51238,0.36985,0.00732,0.88699,0.86238,0.89796,0.73879,0.64941,0.63793,0.01161,0.000180073,0.000180073,0.000180073
83,2784.82,0.50945,0.35855,0.00748,0.86303,0.85947,0.89324,0.73276,0.62902,0.64102,0.0111,0.000171074,0.000171074,0.000171074
84,2818.19,0.52406,0.3767,0.00755,0.88511,0.84171,0.89207,0.73868,0.62749,0.67881,0.01099,0.000162075,0.000162075,0.000162075
85,2851.47,0.51322,0.35561,0.0073,0.93103,0.83544,0.89676,0.73995,0.64202,0.64787,0.01122,0.000153076,0.000153076,0.000153076
86,2884.66,0.51465,0.37116,0.00745,0.89521,0.86483,0.90745,0.7413,0.63134,0.61879,0.01112,0.000144077,0.000144077,0.000144077
87,2917.96,0.51272,0.36809,0.00736,0.87606,0.8883,0.90983,0.74955,0.62235,0.62991,0.01084,0.000135077,0.000135077,0.000135077
88,2951.26,0.50095,0.35055,0.00707,0.89371,0.8748,0.90403,0.74307,0.6192,0.64349,0.01073,0.000126078,0.000126078,0.000126078
89,2984.5,0.49822,0.35863,0.00713,0.90118,0.85095,0.90143,0.74815,0.61404,0.65895,0.0106,0.000117079,0.000117079,0.000117079
90,3017.69,0.48684,0.34439,0.00708,0.8555,0.86155,0.8959,0.74532,0.61446,0.66432,0.01078,0.00010808,0.00010808,0.00010808
91,3051.8,0.40686,0.24966,0.00727,0.90825,0.83455,0.89585,0.7447,0.61626,0.70716,0.01057,9.9081e-05,9.9081e-05,9.9081e-05
92,3084.68,0.39572,0.22556,0.00706,0.8938,0.84464,0.90023,0.74571,0.62343,0.65886,0.01083,9.00819e-05,9.00819e-05,9.00819e-05
93,3117.64,0.3811,0.20675,0.00673,0.88771,0.85178,0.90229,0.75236,0.61714,0.65912,0.01063,8.10828e-05,8.10828e-05,8.10828e-05
94,3150.68,0.38171,0.20105,0.00677,0.92565,0.84374,0.90858,0.75803,0.6174,0.65549,0.01054,7.20837e-05,7.20837e-05,7.20837e-05
95,3183.78,0.3788,0.20483,0.00682,0.84376,0.89731,0.90032,0.74599,0.61873,0.65983,0.01061,6.30846e-05,6.30846e-05,6.30846e-05
96,3216.81,0.36296,0.19206,0.00632,0.85395,0.86997,0.89772,0.75058,0.619,0.64654,0.01065,5.40855e-05,5.40855e-05,5.40855e-05
97,3249.8,0.36066,0.19947,0.00641,0.86871,0.86891,0.89863,0.74871,0.61876,0.65157,0.01061,4.50864e-05,4.50864e-05,4.50864e-05
98,3282.87,0.37518,0.20636,0.00665,0.91778,0.82885,0.89848,0.74765,0.61728,0.64585,0.01058,3.60873e-05,3.60873e-05,3.60873e-05
99,3315.82,0.36711,0.19313,0.00645,0.92059,0.82979,0.89714,0.75161,0.61786,0.65071,0.01059,2.70882e-05,2.70882e-05,2.70882e-05
100,3348.79,0.3619,0.20122,0.00641,0.9248,0.81507,0.90053,0.75133,0.61239,0.65874,0.0105,1.80891e-05,1.80891e-05,1.80891e-05
